Ghoul,1,300,20,86,3,66,120,90,2,1358,6,12
Giant Spider,2,600,7,114,18,210,120,90,0,2683,8,16
Vampire,4,800,30,109,8,112,142,100,1,4477,21,15
Gargoyle Trap,4,920,20,98,0,89,300,150,5,4682,14,41
Tainted One,4,900,12,116,9,152,198,120,3,4427,20,23
Goatman,3,650,12,104,12,154,135,120,1,3426,14,16
Mummy,5,1050,13,116,9,138,265,160,1,5424,20,29
Sand Raider,6,1280,13,122,14,180,278,120,3,6275,26,35
Claw Viper,7,1490,11,140,25,210,188,170,2,7867,39,32
Slinger,8,1510,28,149,26,180,130,120,1,8756,70,22
Sabre Cat,9,1620,18,110,42,200,195,150,4,9047,46,60
Vulture Demon,10,2200,15,156,44,242,180,180,2,10558,48,55
Sand Maggot,9,1640,26,118,23,182,228,130,6,9108,38,43
Fire Eye,10,2200,28,135,39,200,180,120,4,10332,50,50
Frog Demon,11,2550,22,130,35,226,312,180,2,11020,60,72
Thorned Hulk,10,2070,39,90,9,166,455,220,8,10122,47,70
Zakarum Zealot,12,3750,40,128,34,265,308,160,5,12646,112,78
Tentacle Beast,11,2630,30,116,20,226,380,280,3,11162,71,58
Willowisp,12,3400,9,162,68,390,128,380,0,12267,69,80
Temple Guard,13,4300,49,122,32,250,294,320,5,13285,124,71
Strangler,15,3600,55,98,33,220,459,200,2,15018,103,99
Megademon,16,4500,55,112,35,213,397,240,6,16115,142,110
Regurgitator,14,3430,52,102,24,180,589,220,4,14769,92,103
Oblivion Knight,17,4830,42,132,40,223,376,380,8,17700,178,142
Izuel,23,8800,66,140,41,240,448,520,10,23152,339,204
Grand Vizier,24,10000,42,150,55,290,395,380,12,24400,289,313
Baal,22,7400,185,118,52,120,490,300,6,22470,393,227
Mephisto,26,14500,65,138,40,288,725,600,15,26235,492,469
Diablo,30,0,90,148,35,300,1020,540,12,0,501,441
